index,molecule_chembl_id,canonical_smiles,standard_value
159,CHEMBL298794,CCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,8900.0
160,CHEMBL298774,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(OC)c2)cc1[N+](=O)[O-],1300.0
161,CHEMBL55,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,13.0
162,CHEMBL52182,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(C)cc2)cc1[N+](=O)[O-],13000.0
163,CHEMBL51330,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(CCC)CCC)cc1[N+](=O)[O-],17000.0
164,CHEMBL53263,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC)cc1[N+](=O)[O-],5300.0
165,CHEMBL296401,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(C)C)cc1[N+](=O)[O-],5800.0
166,CHEMBL53423,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NCC)cc1[N+](=O)[O-],5400.0
167,CHEMBL54078,CCCCCCN(CCCCCC)S(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,50000.0
168,CHEMBL52905,CCCCN(CCCC)S(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,38000.0
169,CHEMBL52127,CCCCCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,15000.0
170,CHEMBL53698,CCN(CC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],2800.0
171,CHEMBL52478,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(c2ccccc2)c2ccccc2)cc1[N+](=O)[O-],7000.0
172,CHEMBL51916,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N2CCCC2)cc1[N+](=O)[O-],6500.0
173,CHEMBL54551,CCCN(CCC)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,20000.0
174,CHEMBL431345,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC2CCCC2)cc1[N+](=O)[O-],11000.0
175,CHEMBL52017,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N2CCOCC2)cc1[N+](=O)[O-],100000.0
176,CHEMBL55225,CCCCN(CCCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],120.0
177,CHEMBL53153,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],410.0
178,CHEMBL54094,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccn2)cc1[N+](=O)[O-],9200.0
