index,molecule_chembl_id,canonical_smiles,standard_value,is_valid
112,CHEMBL447829,CCNCCCNCCCNCCCNCC1CCCCCC1,100000.0,True
116,CHEMBL3392184,C[S+](C[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O)C1C=CC(N)C1.[Br-],5200.0,True
117,CHEMBL86523,CCNCCCN[C@@H]1CCC[C@H](N)CC1,100000.0,True
135,CHEMBL86587,CCNCCCN[C@H]1C=C[C@@H](N)CCC1,100000.0,True
137,CHEMBL86435,COc1cccc(CNCCCNCCCCCCCNCCCNCc2cccc(OC)c2)c1,22000.0,True
141,CHEMBL313792,Nc1nc(N)nc(Nc2ccc([As]=O)cc2)n1,1.0,True
144,CHEMBL87326,N[C@@H]1C=C[C@H](NCCCNCC2CC2)C1,100000.0,True
146,CHEMBL33387,CCNCCCNCCCNCCCNCC1CC1,100000.0,True
158,CHEMBL298362,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC2CC2)cc1[N+](=O)[O-],3400.0,True
159,CHEMBL298794,CCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,8900.0,True
160,CHEMBL298774,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(OC)c2)cc1[N+](=O)[O-],1300.0,True
161,CHEMBL55,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,13.0,True
162,CHEMBL52182,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(C)cc2)cc1[N+](=O)[O-],13000.0,True
163,CHEMBL51330,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(CCC)CCC)cc1[N+](=O)[O-],17000.0,True
164,CHEMBL53263,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC)cc1[N+](=O)[O-],5300.0,True
165,CHEMBL296401,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(C)C)cc1[N+](=O)[O-],5800.0,True
166,CHEMBL53423,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NCC)cc1[N+](=O)[O-],5400.0,True
167,CHEMBL54078,CCCCCCN(CCCCCC)S(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,50000.0,True
168,CHEMBL52905,CCCCN(CCCC)S(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,38000.0,True
169,CHEMBL52127,CCCCCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,15000.0,True
170,CHEMBL53698,CCN(CC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],2800.0,True
171,CHEMBL52478,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(c2ccccc2)c2ccccc2)cc1[N+](=O)[O-],7000.0,True
172,CHEMBL51916,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N2CCCC2)cc1[N+](=O)[O-],6500.0,True
173,CHEMBL54551,CCCN(CCC)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,20000.0,True
174,CHEMBL431345,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC2CCCC2)cc1[N+](=O)[O-],11000.0,True
175,CHEMBL52017,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N2CCOCC2)cc1[N+](=O)[O-],100000.0,True
176,CHEMBL55225,CCCCN(CCCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],120.0,True
177,CHEMBL53153,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],410.0,True
178,CHEMBL54094,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccn2)cc1[N+](=O)[O-],9200.0,True
179,CHEMBL265502,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,210.0,True
180,CHEMBL52597,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(C)c2)cc1[N+](=O)[O-],1900.0,True
181,CHEMBL298397,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(C)c2ccccc2)cc1[N+](=O)[O-],1000.0,True
182,CHEMBL295960,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],12000.0,True
183,CHEMBL51746,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(Cl)c(Cl)c2)cc1[N+](=O)[O-],7900.0,True
184,CHEMBL53033,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(Cl)c2)cc1[N+](=O)[O-],2100.0,True
185,CHEMBL54012,CCCCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,17000.0,True
186,CHEMBL298557,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1[N+](=O)[O-],13000.0,True
187,CHEMBL299079,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(CC)CC)cc1[N+](=O)[O-],8300.0,True
189,CHEMBL299414,CCCCNS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCC)CCC)c([N+](=O)[O-])c1,12000.0,True
190,CHEMBL53586,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)NC(C)C)cc1[N+](=O)[O-],4100.0,True
191,CHEMBL298564,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cc(Cl)cc(Cl)c2)cc1[N+](=O)[O-],8000.0,True
192,CHEMBL54952,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(OC)cc2)cc1[N+](=O)[O-],19000.0,True
193,CHEMBL116390,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)[C@@H](OC(C)=O)C(=O)NOCc1ccccc1,60000.0,True
194,CHEMBL114894,CC1(C)O[C@H](COP(=O)(O)O)[C@H](C(N)=O)O1,212000.0,True
196,CHEMBL113666,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)[C@@H](OC(C)=O)C(=O)N(OCc1ccccc1)C(C)=O,49000.0,True
197,CHEMBL324609,CC1(C)O[C@H](COP(=O)(O)O)[C@H](C(=O)NO)O1,332000.0,True
198,CHEMBL114160,O=C(NO)[C@H](OC1CCCO1)[C@@H](CCO)OC1CCCO1,61000.0,True
199,CHEMBL113708,O=C1OC[C@@H](OC2CCCO2)[C@H]1OC1CCCO1,113000.0,True
200,CHEMBL114616,O=C(C[S+]([O-])C[C@H](O)COP(=O)(OCc1ccccc1)OCc1ccccc1)OCc1ccccc1,82000.0,True
201,CHEMBL117133,O=C(O)C[S+]([O-])C[C@H](O)COP(=O)(O)O,244000.0,True
202,CHEMBL117876,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)CSCC(=O)OCc1ccccc1,137000.0,True
203,CHEMBL114269,CC(=O)O[C@H](COP(=O)(O)O)[C@@H](OC(C)=O)C(=O)NO,229000.0,True
204,CHEMBL116018,O=C(NO)[C@H](O)[C@H](O)COP(=O)(O)O,389000.0,True
205,CHEMBL114416,O=C(NOCc1ccccc1)[C@H](O)[C@H](O)COP(=O)(OCc1ccccc1)OCc1ccccc1,130000.0,True
206,CHEMBL325268,O=C(CSC[C@H](O)CO)OCc1ccccc1,75000.0,True
207,CHEMBL116897,O=C(C[S+]([O-])C[C@@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)OC1CCCO1)OCc1ccccc1,73000.0,True
208,CHEMBL334040,CC1(C)O[C@@H]2COC(=O)[C@@H]2O1,262000.0,True
209,CHEMBL117442,O=C(NO)[C@H](O)[C@H](O)CO,116000.0,True
210,CHEMBL117535,CC1(C)O[C@H](CO)[C@H](C(=O)NOCc2ccccc2)O1,3500.0,True
211,CHEMBL117534,CC1(C)O[C@H](COP(=O)(OCc2ccccc2)OCc2ccccc2)[C@H](C(=O)NOCc2ccccc2)O1,126000.0,True
212,CHEMBL323922,NC(=O)[C@H](O)[C@H](O)COP(=O)(O)O,277000.0,True
213,CHEMBL113843,CC1(C)OC[C@H](CSCC(=O)OCc2ccccc2)O1,304000.0,True
214,CHEMBL420687,O=C(CSC[C@H](O)COP(=O)(OCc1ccccc1)OCc1ccccc1)OCc1ccccc1,47000.0,True
215,CHEMBL325269,CC(=O)O[C@H](COP(=O)(OCc1ccccc1)OCc1ccccc1)C[S+]([O-])CC(=O)OCc1ccccc1,36000.0,True
216,CHEMBL116916,CC(=O)O[C@H](COP(=O)(O)O)C[S+]([O-])CC(=O)O,113000.0,True
217,CHEMBL117064,COc1cccc2c1cc1c3ccccc3nc-1n2C,1300.0,True
218,CHEMBL118340,Cn1c2nc3ccccc3c-2cc2cc(I)ccc21,1000.0,True
219,CHEMBL118066,Cn1c2nc3ccccc3c-2cc2cc(C#N)ccc21,4000.0,True
220,CHEMBL115592,Cn1c2nc3ccccc3c-2cc2c(C(F)(F)F)cccc21,32000.0,True
221,CHEMBL118855,Cn1c2nc3ccccc3c-2cc2cc(F)ccc21,14300.0,True
222,CHEMBL119649,COc1ccc2c(c1)cc1c3ccccc3nc-1n2C,300.0,True
223,CHEMBL118165,CN1c2cc(C(F)(F)F)ccc2C=C2c3ccccc3NC21,16700.0,True
224,CHEMBL333481,Cc1ccc2c(c1)cc1c3ccccc3nc-1n2C,100.0,True
225,CHEMBL432423,CSc1ccc2c(c1)cc1c3ccccc3nc-1n2C,800.0,True
226,CHEMBL323909,Cn1c2nc3ccc(C#N)cc3c-2cc2ccccc21,32000.0,True
227,CHEMBL115585,Cn1c2nc3ccccc3c-2cc2ccccc21,4000.0,True
228,CHEMBL117831,Cn1c2nc3ccc(C#N)cc3c-2cc2cc(C(F)(F)F)ccc21,32000.0,True
229,CHEMBL119096,C[n+]1c2ccccc2cc2[n-]c3ccccc3c21,3000.0,True
230,CHEMBL119475,Clc1ccc2[nH]c3nc4ccccc4c-3cc2c1,32000.0,True
231,CHEMBL118916,Cn1c2nc3ccccc3c-2cc2cc(Cl)ccc21,1300.0,True
236,CHEMBL443023,Cn1c2nc3ccccc3c-2cc2cc([N+](=O)[O-])ccc21,700.0,True
237,CHEMBL115433,Cn1c2nc3ccccc3c-2cc2c(Br)cccc21,16700.0,True
238,CHEMBL119834,Clc1cc(Cl)c2[nH]c3nc4ccccc4c-3cc2c1,32000.0,True
239,CHEMBL332478,CN1c2cc(Br)ccc2C=C2c3ccccc3NC21,27300.0,True
240,CHEMBL331251,COc1ccc2[nH]c3nc4ccccc4c-3cc2c1,32000.0,True
241,CHEMBL117926,COc1ccc2c(c1)cc1c3cc(C#N)ccc3nc-1n2C,1000.0,True
242,CHEMBL119102,Cn1c2nc3ccc(C#N)cc3c-2cc2cc(F)ccc21,4000.0,True
243,CHEMBL118343,Fc1ccc2[nH]c3nc4ccccc4c-3cc2c1,32000.0,True
244,CHEMBL440898,Cn1c2nc3ccccc3c-2cc2cc(Br)ccc21,1000.0,True
245,CHEMBL118915,COc1ccc2c(c1)N(C)C1Nc3ccccc3C1=C2,400.0,True
246,CHEMBL118838,CN1c2cc(Cl)ccc2C=C2c3ccccc3NC21,9300.0,True
247,CHEMBL332113,Cn1c2nc3ccc(C#N)cc3c-2cc2cc(Cl)ccc21,32000.0,True
248,CHEMBL55359,O=P(O)(O)C(O)(CSc1ccncc1)P(=O)(O)O,19800.0,True
249,CHEMBL55358,CC(N)CC(O)(P(=O)(O)O)P(=O)(O)O,7800.0,True
250,CHEMBL55140,Cc1cccnc1NC(P(=O)(O)O)P(=O)(O)O,700.0,True
251,CHEMBL417932,Nc1ccc(CC(O)(P(=O)(O)O)P(=O)(O)O)cc1,40000.0,True
252,CHEMBL55214,NCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,31700.0,True
253,CHEMBL434024,O=P(O)(O)C(O)(Cc1ccccn1)P(=O)(O)O,220.0,True
254,CHEMBL52761,CCCC(O)(P(=O)(O)O)P(=O)(O)O,92000.0,True
255,CHEMBL56556,O=P(O)(O)C(O)(Cc1ccccc1)P(=O)(O)O,21300.0,True
256,CHEMBL301471,CCOP(=O)(OCC)C(Nc1ncccc1C)P(=O)(OCC)OCC,27900.0,True
257,CHEMBL923,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,8600.0,True
258,CHEMBL55886,O=P(O)(O)C(O)(Cc1ccncc1)P(=O)(O)O,200000.0,True
260,CHEMBL55812,CN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,5400.0,True
261,CHEMBL293522,O=P(O)(O)C(O)(CCc1cccnc1)P(=O)(O)O,1700.0,True
262,CHEMBL299491,CCCCC(O)(P(=O)(O)O)P(=O)(O)O,99800.0,True
263,CHEMBL299988,CCCCCC(O)(P(=O)(O)O)P(=O)(O)O,62400.0,True
264,CHEMBL301247,O=P(O)(O)C(O)(Cc1c[nH]cn1)P(=O)(O)O,8600.0,True
265,CHEMBL834,NCCC(O)(P(=O)(O)O)P(=O)(O)O,177000.0,True
266,CHEMBL298771,NCCCCC(O)(P(=O)(O)O)P(=O)(O)O,200000.0,True
267,CHEMBL870,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,200000.0,True
268,CHEMBL82641,c1ccc(CCCNCCCCN(CCCNCCCc2ccccc2)CCCc2ccccc2)cc1,220.0,True
272,CHEMBL85189,NCCCN(CCCCN(CCCNCCCc1ccccc1)CCCc1ccccc1)CCCc1ccccc1,270.0,True
276,CHEMBL86096,c1ccc(CCCNCCCNCCCCNCCCNCCCc2ccccc2)cc1,810.0,True
280,CHEMBL86281,c1ccc(CCCNCCCN(CCCCN(CCCNCCCc2ccccc2)CCCc2ccccc2)CCCc2ccccc2)cc1,120.0,True
284,CHEMBL84221,c1ccc(CCCNCCCNCCCCNCCCN(CCCc2ccccc2)CCCc2ccccc2)cc1,400.0,True
288,CHEMBL85161,c1ccc(CCCNCCCN(CCCCN(CCCc2ccccc2)CCCN(CCCc2ccccc2)CCCc2ccccc2)CCCc2ccccc2)cc1,3050.0,True
292,CHEMBL85198,NCCCCN(CCCNCCCc1ccccc1)CCCc1ccccc1.NCCCN(CCCCNCCCc1ccccc1)CCCc1ccccc1,310.0,True
296,CHEMBL62048,NCCCN(CCCCN(CCCN)CCCc1ccccc1)CCCc1ccccc1,660.0,True
300,CHEMBL310207,c1ccc(CCCN(CCCCN(CCCc2ccccc2)CCCN(CCCc2ccccc2)CCCc2ccccc2)CCCN(CCCc2ccccc2)CCCc2ccccc2)cc1,22000.0,True
304,CHEMBL121434,CN1CCN(C(=O)/C=C/c2ccc3ccccc3n2)CC1,32000.0,True
306,CHEMBL334308,OC(Cc1ccc2ccccc2n1)c1ccc(F)cc1,32000.0,True
308,CHEMBL121345,O=C(/C=C/c1ccc2ccccc2n1)N1CCCCC1,32000.0,True
309,CHEMBL121001,COc1ccc(/C=C/c2ccc3ccccc3n2)cc1OC,26000.0,True
310,CHEMBL121177,O=[N+]([O-])c1ccc(C(O)Cc2ccc3ccccc3n2)cc1,32000.0,True
311,CHEMBL119769,O=[N+]([O-])c1ccc(/C=C/c2ccc3ccccc3n2)cc1,32000.0,True
313,CHEMBL120734,CN(C)c1ccc(/C=C/c2ccc3ccccc3n2)cc1,6000.0,True
314,CHEMBL124355,COc1ccc(C(O)Cc2ccc3ccccc3n2)cc1OC,32000.0,True
315,CHEMBL538157,O=C/C=C/c1ccc2ccccc2n1,19000.0,True
316,CHEMBL122675,CN(C)c1ccc(C(O)Cc2ccc3ccccc3n2)cc1,32000.0,True
317,CHEMBL432231,OC(Cc1ccc2ccccc2n1)c1ccco1,32000.0,True
318,CHEMBL338511,Fc1ccccc1NCc1ccc2ccccc2n1,32000.0,True
319,CHEMBL121537,O=[N+]([O-])/C=C/c1ccc2ccccc2n1,18000.0,True
320,CHEMBL121573,Fc1ccc(/C=C/c2ccc3ccccc3n2)cc1,32000.0,True
321,CHEMBL120925,COc1cc(NCc2ccc3ccccc3n2)cc(OC)c1OC,32000.0,True
323,CHEMBL121196,O=C(/C=C/c1ccc2ccccc2n1)N1CCOCC1,32000.0,True
324,CHEMBL120356,Br/C=C/c1ccc2ccccc2n1,1000.0,True
326,CHEMBL121071,COc1ccc(/C=C/c2ccc3ccccc3n2)c(OC)c1,18000.0,True
327,CHEMBL177872,CCn1ncc2c1n/c(=N\c1ccccc1)n1ccc3ccccc3c21,35000.0,True
328,CHEMBL3143659,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)c2nc(-c3ccccc3)c(-c3ccccc3)nc12,11000.0,True
329,CHEMBL172782,COC(=O)/C(C#N)=C/c1ccc(/C=C/c2ccccn2)cc1,16000.0,True
330,CHEMBL353318,COC(=O)N[C@H](C(=O)OC)[C@H](O)[C@@H](C)c1c(C)nc2n(C)c3ncn(Cc4ccccc4)c3c(=O)n12,108000.0,True
331,CHEMBL175127,CCOC(=O)/C(C#N)=C/c1ccc(/C=C/c2ccccn2)cc1,15000.0,True
332,CHEMBL62192,CC(=O)OCC(CO)OC(COC(C)=O)n1cnc2c(N)ncnc21,7000.0,True
333,CHEMBL301405,CC(=O)OCC(COC(C)=O)OC(COC(C)=O)n1cnc2c(O)ncnc21,5400.0,True
334,CHEMBL61970,Nc1ncnc2c1ncn2C(CO)OC(CO)CSCCO,100000.0,True
335,CHEMBL418503,Nc1ncnc2c1ncn2C(CO)OC(CO)CO,100000.0,True
336,CHEMBL58857,OCC(CO)OC(CO)n1cnc2c(O)ncnc21,100000.0,True
337,CHEMBL293899,CC(=O)OCCSCC(COC(C)=O)OC(COC(C)=O)n1cnc2c(N)ncnc21,5300.0,True
338,CHEMBL96761,Br.Br.Br.Br.CCNCCCNCCCNCCCNCC1CC1,100000.0,True
342,CHEMBL93014,Br.Br.Br.Br.C(CCCNCCCNCC1CCCCCC1)CCCNCCCNCC1CCCCCC1,125.0,True
346,CHEMBL92122,Br.Br.Br.Br.C#CCNCCCNCCCNCCCNCC,100000.0,True
350,CHEMBL93088,Br.Br.Br.Br.CCNCCCNCCCCCCCNCCCNCC1CCCCCC1,18000.0,True
354,CHEMBL92123,Br.Br.Br.Br.CCNCCCNCCCNCCCNCC1CCCCCC1,100000.0,True
358,CHEMBL93314,Br.Br.Br.Br.c1ccc(CNCCCNCCCCCCCNCCCNCc2ccccc2)cc1,14500.0,True
362,CHEMBL59755,O=C(O)CCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,4000.0,True
363,CHEMBL60505,O=C(O)CC(=O)OC12CCCCC1C1CCCCC1(O)OO2,10000.0,True
364,CHEMBL413376,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c45)ccc3C)c2)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],43.0,True
365,CHEMBL61588,O=C(O)CCCCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,17000.0,True
366,CHEMBL60144,OC12CCCCC1C1CCCCC1(O)OO2,13000.0,True
367,CHEMBL60093,CC1CCCC2C3CCCC(C)C3(O)OOC12O,64000.0,True
368,CHEMBL60487,COC12CCCCC1C1CCCCC1(O)OO2,16000.0,True
369,CHEMBL60085,O=C(O)CCCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,16000.0,True
370,CHEMBL9126,N=C(N)c1ccc(N2CCN(c3ccc(C(=N)N)cc3)CC2)cc1,58.0,True
373,CHEMBL267154,C(=C1/CCCN(c2ccc(C3=NCCN3)cc2)C1)\c1ccc(C2=NCCN2)cc1,71.0,True
379,CHEMBL9341,CC(C)/N=C(\N)c1ccc(N2CCCN(c3ccc(/C(N)=N/C(C)C)cc3)CC2)cc1,1000.0,True
382,CHEMBL9025,N=C(NC1CC1)c1ccc(N2CCCN(c3ccc(C(=N)NC4CC4)cc3)CC2)cc1,870.0,True
385,CHEMBL276449,C(=C1CCN(Cc2ccc(C3=NCCN3)cc2)CC1)c1ccc(C2=NCCN2)cc1,540.0,True
388,CHEMBL9531,N=C(N)c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C(=N)N)cc3)n2)cc1,1000.0,True
391,CHEMBL9516,c1cc(C2=NCCN2)ccc1CC1CCCN(c2ccc(C3=NCCN3)cc2)C1,86.0,True
394,CHEMBL2311124,N=C(N)c1ccc(NC(=O)[C@@H]2C[C@H]2C(=O)Nc2ccc(C(=N)N)cc2)cc1,1000.0,True
397,CHEMBL9479,c1cc(C2=NCCN2)ccc1CC1CCN(c2ccc(C3=NCCN3)cc2)CC1,169.0,True
400,CHEMBL166,Nc1nc(N)nc(Nc2ccc([As]3SCC(CO)S3)cc2)n1,200.0,True
401,CHEMBL9053,CCCCNC(=N)c1ccc(N2CCCN(c3ccc(C(=N)NCCCC)cc3)CC2)cc1,180.0,True
404,CHEMBL25526,N=C(N)c1ccc(OC[C@@H]2C[C@H]2COc2ccc(C(=N)N)cc2)cc1,9.4,True
407,CHEMBL9121,N=C(NCCO)c1ccc(N2CCCN(c3ccc(/C(N)=N/CCO)cc3)CC2)cc1,1000.0,True
410,CHEMBL269032,N=C(N)c1ccc(N2CCCN(c3ccc(C(=N)N)cc3)CC2)cc1,2.15,True
413,CHEMBL9185,c1cc(N2CCCN(c3ccc(C4=NCCN4)cc3)CC2)ccc1C1=NCCN1,27.5,True
416,CHEMBL266808,O=C(Nc1ccc(C2=NCCN2)cc1)C1C[C@H]1C(=O)Nc1ccc(C2=NCCN2)cc1,1000.0,True
419,CHEMBL9490,CC(C)(C)/N=C(\N)c1ccc(N2CCCN(c3ccc(/C(N)=N/C(C)(C)C)cc3)CC2)cc1,1000.0,True
422,CHEMBL9391,N=C(N)c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C(=N)N)cc3)c2)cc1,70.0,True
425,CHEMBL8892,c1cc(N2CCN(c3ccc(C4=NCCN4)cc3)CC2)ccc1C1=NCCN1,18.5,True
428,CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,4300.0,True
431,CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,116300.0,True
434,CHEMBL423172,Cn1c([N+](=O)[O-])cnc1-c1nnc(N)s1,120.0,True
