,Unnamed: 0,molecule_chembl_id,is_valid,valor_bioactividad,canonical_smiles,Peso_Molecular,LogP,Num_Donadores_H,Num_Aceptores,pIC50
1503,1503,CHEMBL3431272,True,activo,O=C(NCc1nnc2n1CCCCC2)c1ccc(-c2ccc(F)cc2)o1,354.385,3.333600000000001,1,5,7.0
1504,1504,CHEMBL3431330,True,activo,CC1CCCCN1C(=O)NCCc1coc(-c2ccc(F)cc2)n1,331.391,3.6072000000000015,1,3,6.886056647693163
1505,1505,CHEMBL3431007,True,activo,CS(=O)(=O)c1ccccc1C(=O)N(Cc1ccccc1)c1ccccc1,365.45400000000006,3.9371000000000023,0,3,6.251811972993799
1506,1506,CHEMBL2229099,True,inactivo,CCc1nn(C)c(C(=O)NCc2ccc(Oc3ccc(C)cc3)cc2)c1Cl,383.879,4.666620000000004,1,4,4.482144581069972
1507,1507,CHEMBL1566634,True,inactivo,CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1,337.423,3.929700000000002,1,5,4.482276405166265
1508,1508,CHEMBL466426,True,inactivo,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,406.2690000000001,4.665500000000003,0,6,4.488785298863612
1509,1509,CHEMBL1872842,True,activo,O=C(NCCc1csc(-c2ccccc2)n1)c1ccccc1,308.406,3.782600000000002,1,3,6.823908740944319
1510,1510,CHEMBL1094051,True,inactivo,N#CCN(CCCCN1CCN(c2ccc(F)cc2)CC1)C(=O)OCc1ccccc1,424.5200000000002,3.8902800000000033,0,5,4.603451962012868
1511,1511,CHEMBL3115821,True,activo,O=C(Nc1ccc(F)c(-c2nc3cc(-c4ccccc4)cnc3[nH]2)c1)N1CCCC1,401.4450000000002,5.058700000000004,2,3,6.886056647693163
1512,1512,CHEMBL3546548,True,activo,Cc1ccc(S(=O)(=O)Nc2ccc(CN3CCN(C(=O)c4cccc(C#N)c4)CC3)cc2)cc1,474.5860000000002,3.6255000000000033,1,5,6.853871964321762
1513,1513,CHEMBL3546405,True,activo,COc1ccc(S(=O)(=O)Nc2ccc(CN3CCN(C(=O)c4cccc(C#N)c4)CC3)cc2)cc1,490.58500000000026,3.325680000000002,1,6,6.301029995663981
1514,1514,CHEMBL3431191,True,inactivo,CC(=O)Nc1ccc(-c2noc(CC3CCCN(Cc4cccc(F)c4C)C3)n2)cc1,422.5040000000001,4.5972200000000045,1,5,4.490797477668897
1515,1515,CHEMBL3546668,True,inactivo,Clc1ccc(CN2CCN(C3=NCCN3)CC2)cc1Cl,313.232,2.0702,1,4,4.500312917381596
1516,1516,CHEMBL2171452,True,activo,COc1ccc(C2=NN(C3CCCCCC3)C(=O)C2(C)C)cc1OCCCCOc1ccc(-c2nn[nH]n2)cc1,546.6720000000003,5.408600000000005,1,8,6.102372908709558
1517,1517,CHEMBL3431063,True,activo,CNC(=O)C1Cc2ccccc2N1C(=O)Cc1ccc(F)cc1,312.344,2.0720999999999994,1,2,6.309803919971486
1518,1518,CHEMBL2441383,True,activo,O=C(Nc1ccc2c(c1)B(O)OC2)c1ccccc1C(F)(F)F,321.063,2.1754,2,3,6.823908740944319
1519,1519,CHEMBL1197563,True,activo,COc1ccc(C(=N)N)cc1-c1cn(-c2ccc(C(=N)N)cc2)nn1,335.37100000000004,1.5110399999999995,4,6,6.6020599913279625
1520,1520,CHEMBL472881,True,inactivo,Cc1nc(-c2ccccn2)nc(N(C)CCc2ccccc2)c1Cl,338.842,4.179320000000003,0,4,4.827105302247824
1521,1521,CHEMBL519040,True,inactivo,O=C(Nc1c(O)cccc1-c1nc2c(C(=O)O)cccc2o1)c1cc(-c2ccccc2)on1,441.3990000000001,4.805900000000002,3,7,4.494850021680094
1522,1522,CHEMBL1683021,True,inactivo,Clc1ccc(Cl)c(CO[C@H]2CCCC[C@@H]2n2ccnc2)c1,325.239,4.890400000000004,0,3,4.494850021680094
1523,1523,CHEMBL4070883,True,inactivo,CC1(OCc2ccc(OC(F)(F)F)cc2)COc2nc([N+](=O)[O-])cn2C1,373.2870000000001,3.057800000000001,0,7,4.1938200260161125
1524,1524,CHEMBL4091750,True,inactivo,CC1(C)Oc2nc([N+](=O)[O-])cn2CC1OCc1ccc(OC(F)(F)F)cc1,387.314,3.4463000000000017,0,7,4.468521082957745
1525,1525,CHEMBL4097042,True,inactivo,CC1(C)Oc2nc([N+](=O)[O-])cn2CC1OCc1ccc(OCc2ccccc2)cc1,409.4420000000001,4.126700000000003,0,7,4.537602002101044
1526,1526,CHEMBL4067141,True,inactivo,O=[N+]([O-])c1cn2c(n1)OCCC(OCc1ccc(OC(F)(F)F)cc1)C2,373.287,3.057800000000001,0,7,4.1938200260161125
1527,1527,CHEMBL4088403,True,inactivo,O=[N+]([O-])c1cn2c(n1)OCCC(OCc1ccc(OCc3ccccc3)cc1)C2,395.4150000000001,3.738200000000002,0,7,4.638272163982407
1528,1528,CHEMBL4084773,True,inactivo,O=[N+]([O-])c1cn2c(n1)OCC(OCc1ccc(OC(F)(F)F)cc1)CC2,373.287,3.057800000000001,0,7,4.1938200260161125
1529,1529,CHEMBL4074488,True,inactivo,O=[N+]([O-])c1nc2n(n1)CC(Oc1ccc(OC(F)(F)F)cc1)CO2,346.22100000000006,1.9249,0,8,4.1938200260161125
1530,1530,CHEMBL4092525,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccccc1-c1ccc(OC(F)(F)F)cc1)C2,435.3580000000001,4.334700000000003,0,7,4.1938200260161125
1531,1531,CHEMBL4071737,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1cccc(-c3ccc(OC(F)(F)F)cc3)c1)C2,435.3580000000001,4.334700000000003,0,7,4.657577319177793
1532,1532,CHEMBL4095902,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3)cc1)C2,435.35800000000006,4.334700000000003,0,7,4.1938200260161125
1533,1533,CHEMBL4061728,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ncc(C(F)(F)F)cc3Cl)cc1)C2,454.792,4.503300000000003,0,7,4.366531544420414
1534,1534,CHEMBL4087531,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1cccnc1-c1ccc(OC(F)(F)F)cc1)C2,436.3460000000001,3.729700000000003,0,8,4.1938200260161125
1535,1535,CHEMBL4105398,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ncccc1-c1ccc(OC(F)(F)F)cc1)C2,436.3460000000001,3.729700000000003,0,8,4.1938200260161125
1536,1536,CHEMBL4095234,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ncccc1-c1ccc(OC(F)(F)F)cc1)C2,436.3460000000001,3.729700000000003,0,8,4.7447274948966935
1537,1537,CHEMBL4067816,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1cccc(-c3ccc(OC(F)(F)F)cc3)n1)C2,436.3460000000001,3.729700000000003,0,8,4.337242168318426
1538,1538,CHEMBL4068863,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1cccc(-c3ccc(OC(F)(F)F)cc3F)n1)C2,454.3360000000001,3.868800000000003,0,8,4.1938200260161125
1539,1539,CHEMBL4089957,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1cccc(-c3ccc(OC(F)(F)F)cc3F)n1)C2,454.3360000000001,3.868800000000003,0,8,4.1938200260161125
1540,1540,CHEMBL4079653,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1cccc(-c3ccc(OC(F)F)cc3)n1)C2,418.3560000000001,3.432500000000002,0,8,4.1938200260161125
1541,1541,CHEMBL4097686,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1cccc(-c3ccc(F)cc3)n1)C2,370.3400000000001,2.970200000000001,0,7,4.1938200260161125
1542,1542,CHEMBL4098597,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3)cn1)C2,436.34600000000006,3.729700000000003,0,8,4.1938200260161125
1543,1543,CHEMBL4071564,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3)c[n+]1[O-])C2,452.3450000000001,2.968100000000001,0,8,4.1938200260161125
1544,1544,CHEMBL4065592,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3F)cn1)C2,454.33600000000007,3.868800000000003,0,8,4.1938200260161125
1545,1545,CHEMBL4083135,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)c(F)c3)cn1)C2,454.33600000000007,3.868800000000003,0,8,4.1938200260161125
1546,1546,CHEMBL4061272,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3Cl)cn1)C2,470.7910000000001,4.383100000000002,0,8,4.455931955649724
1547,1547,CHEMBL4102045,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)F)cc3)cn1)C2,418.3560000000001,3.432500000000002,0,8,4.1938200260161125
1548,1548,CHEMBL4084065,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(C(F)(F)F)cc3)cn1)C2,420.347,3.849900000000003,0,7,4.1938200260161125
1549,1549,CHEMBL4064066,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(F)cc3)cn1)C2,370.34,2.970200000000001,0,7,4.1938200260161125
1550,1550,CHEMBL4091825,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(F)cc3F)cn1)C2,388.33,3.109300000000002,0,7,4.1938200260161125
1551,1551,CHEMBL4086552,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(F)cc3F)cn1)C2,388.33,3.109300000000002,0,7,4.259637310505756
1552,1552,CHEMBL4065114,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3)nc1)C2,436.34600000000006,3.729700000000003,0,8,4.1938200260161125
1553,1553,CHEMBL4073834,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3F)nc1)C2,454.33600000000007,3.868800000000003,0,8,4.1938200260161125
1554,1554,CHEMBL4094416,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)c(F)c3)nc1)C2,454.33600000000007,3.868800000000003,0,8,4.1938200260161125
1555,1555,CHEMBL4065239,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3Cl)nc1)C2,470.7910000000001,4.383100000000002,0,8,4.468521082957745
1556,1556,CHEMBL4086678,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)F)cc3)nc1)C2,418.3560000000001,3.432500000000002,0,8,4.1938200260161125
1557,1557,CHEMBL4103100,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(C(F)(F)F)cc3)nc1)C2,420.347,3.849900000000003,0,7,4.1938200260161125
1558,1558,CHEMBL4078826,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(F)cc3)nc1)C2,370.34,2.970200000000001,0,7,4.1938200260161125
1559,1559,CHEMBL4095345,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(F)cc3F)nc1)C2,388.33,3.109300000000002,0,7,4.1938200260161125
1560,1560,CHEMBL4067944,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(F)cc3F)nc1)C2,388.33,3.109300000000002,0,7,4.1938200260161125
1561,1561,CHEMBL4087650,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3)nn1)C2,437.33400000000006,3.1247000000000016,0,9,4.1938200260161125
1562,1562,CHEMBL4105533,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1cnc(-c3ccc(OC(F)(F)F)cc3)cn1)C2,437.33400000000006,3.1247000000000016,0,9,4.1938200260161125
1563,1563,CHEMBL4062862,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ncc(-c3ccc(OC(F)(F)F)cc3)cn1)C2,437.33400000000006,3.1247000000000016,0,9,4.1938200260161125
1564,1564,CHEMBL4090795,True,inactivo,O=[N+]([O-])c1nc2n(n1)C[C@@H](OCc1cccc(OC(F)(F)F)c1)CO2,360.24800000000005,2.0626999999999995,0,8,4.1938200260161125
1565,1565,CHEMBL4100987,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccccc1OC(F)(F)F)C2,359.26000000000005,2.667700000000001,0,7,4.1938200260161125
1566,1566,CHEMBL1836062,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OCc3ccccc3)cc1)C2,381.3880000000001,3.3481000000000023,0,7,4.1938200260161125
1567,1567,CHEMBL4093258,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(OCc3ccccc3)cc1)C2,381.3880000000001,3.3481000000000023,0,7,4.1938200260161125
1568,1568,CHEMBL4077167,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCC#Cc1ccc(OC(F)(F)F)cc1)C2,383.282,2.5192000000000005,0,7,4.1938200260161125
1569,1569,CHEMBL4085508,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCC#Cc1ccc(C(F)(F)F)cn1)C2,368.271,2.0344,0,7,4.6777807052660805
1570,1570,CHEMBL4063931,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCC#Cc1ccc(C(F)(F)F)nc1)C2,368.271,2.0344,0,7,4.1938200260161125
1571,1571,CHEMBL4097615,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@@H](Oc1ccc(OC(F)(F)F)cc1)C2,345.233,2.5299000000000005,0,7,4.1938200260161125
1572,1572,CHEMBL4078293,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(OC(F)(F)F)cc1)C2,345.233,2.5299000000000005,0,7,4.1938200260161125
1573,1573,CHEMBL4090381,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(C(F)(F)F)cn1)C2,330.22200000000004,2.0451,0,7,4.6020599913279625
1574,1574,CHEMBL4062393,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1cccc(C(F)(F)F)n1)C2,330.22200000000004,2.0451,0,7,4.1938200260161125
1575,1575,CHEMBL4098109,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1cc(C(F)(F)F)ccn1)C2,330.22200000000004,2.0451,0,7,4.638272163982407
1576,1576,CHEMBL4071028,True,inactivo,O=[N+]([O-])c1nc2n(n1)CC(Oc1ccc(C(F)(F)F)cn1)CO2,331.2100000000001,1.4400999999999995,0,8,4.1938200260161125
1577,1577,CHEMBL1946794,True,inactivo,O=C(Nc1ccc(OC(F)(F)F)cc1)O[C@@H]1COc2nc([N+](=O)[O-])cn2C1,388.2580000000001,2.6996,1,8,4.1938200260161125
1578,1578,CHEMBL4081599,True,inactivo,O=C(Nc1ccccc1OC(F)(F)F)O[C@H]1COc2nc([N+](=O)[O-])cn2C1,388.2580000000001,2.6996,1,8,4.318758762624412
1579,1579,CHEMBL4065451,True,inactivo,O=C(O[C@H]1COc2nc([N+](=O)[O-])cn2C1)N1CCN(c2ccc(OC(F)(F)F)cc2)CC1,457.3650000000001,2.4097,0,9,4.1938200260161125
1580,1580,CHEMBL1944704,True,inactivo,O=C(N[C@@H]1COc2nc([N+](=O)[O-])cn2C1)c1ccc(OC(F)(F)F)cc1,372.259,1.8809,1,7,4.1938200260161125
1581,1581,CHEMBL4069505,True,inactivo,O=C(N[C@H]1COc2nc([N+](=O)[O-])cn2C1)c1ccc(OC(F)(F)F)cc1,372.259,1.8809,1,7,4.1938200260161125
1582,1582,CHEMBL4098235,True,inactivo,O=C(N[C@H]1COc2nc([N+](=O)[O-])cn2C1)c1cccc(OC(F)(F)F)c1,372.259,1.8808999999999996,1,7,4.1938200260161125
1583,1583,CHEMBL4080211,True,inactivo,O=C(N[C@H]1COc2nc([N+](=O)[O-])cn2C1)c1ccccc1OC(F)(F)F,372.259,1.8809,1,7,4.1938200260161125
1584,1584,CHEMBL1944881,True,inactivo,O=C(Nc1ccc(OC(F)(F)F)cc1)N[C@@H]1COc2nc([N+](=O)[O-])cn2C1,387.2740000000001,2.2726,2,7,4.657577319177793
1585,1585,CHEMBL4088088,True,inactivo,O=C(Nc1ccc(OC(F)(F)F)cc1)N[C@H]1COc2nc([N+](=O)[O-])cn2C1,387.2740000000001,2.2726,2,7,4.721246399047171
1586,1586,CHEMBL4095813,True,inactivo,O=C(Nc1ccccc1OC(F)(F)F)N[C@H]1COc2nc([N+](=O)[O-])cn2C1,387.2740000000001,2.2726,2,7,4.1938200260161125
1587,1587,CHEMBL4100012,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1cccc(-c3ccc(F)cc3)n1)C2,356.31300000000005,2.8324000000000007,0,7,4.1938200260161125
1588,1588,CHEMBL4065586,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(-c3ccc(F)cc3)cn1)C2,356.31300000000005,2.8324000000000007,0,7,5.0
1589,1589,CHEMBL4085479,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(-c3ccc(OC(F)(F)F)cc3)nc1)C2,422.3190000000001,3.5919000000000025,0,8,4.1938200260161125
1590,1590,CHEMBL4103409,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(-c3ccc(F)cc3)nc1)C2,356.31300000000005,2.8324000000000007,0,7,4.1938200260161125
1591,1591,CHEMBL4075618,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1cc(-c3ccc(OC(F)(F)F)cc3)ncn1)C2,423.3070000000001,2.986900000000001,0,9,4.1938200260161125
1592,1592,CHEMBL4084507,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1cc(-c3ccc(F)cc3)ncn1)C2,357.30100000000004,2.2273999999999994,0,8,4.1938200260161125
1593,1593,CHEMBL4100963,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ncc(-c3ccc(OC(F)(F)F)cc3)cn1)C2,423.3070000000001,2.986900000000001,0,9,4.1938200260161125
1594,1594,CHEMBL4074208,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ncc(-c3ccc(F)cc3)cn1)C2,357.30100000000004,2.2274000000000003,0,8,4.1938200260161125
1595,1595,CHEMBL227875,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,359.26,2.667700000000001,0,7,4.1938200260161125
1596,1596,CHEMBL512244,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(OC(F)(F)F)cc1)C2,359.26,2.667700000000001,0,7,4.1938200260161125
1597,1597,CHEMBL4076532,True,inactivo,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1cccnc1-c1ccc(OC(F)(F)F)cc1)C2,436.3460000000001,3.729700000000003,0,8,4.1938200260161125
1598,1598,CHEMBL4083095,True,inactivo,O=C(Nc1ccc(OC(F)(F)F)cc1)O[C@H]1COc2nc([N+](=O)[O-])cn2C1,388.2580000000001,2.6996,1,8,4.318758762624412
1599,1599,CHEMBL4166590,True,activo,CCCCCCCCCCCCCCCC1=NC(C)CCC1,307.5660000000001,7.481100000000008,0,1,8.568636235841012
1600,1600,CHEMBL4175735,True,activo,CCCCCCCCCCCCCCC1=NC(C)CCC1,293.53900000000004,7.091000000000007,0,1,8.397940008672037
1601,1601,CHEMBL4163146,True,activo,CCCCCCCCCCCCCCCCC1=NC(C)CCC1,321.5930000000001,7.871200000000009,0,1,8.455931955649724
